Set,Model,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,ROC_AUC,PR_AUC
Test,XGBoost,0.9683069732786941,0.6609332332369813,0.5831909805261359,0.33042973286875726,0.42184603978747065,0.9914367336052053,0.8517049916764771,0.41820217951957295

Training,XGBoost,0.9631630839727572,0.9035151061621779,0.9582583335520061,0.8140434161984216,0.8800876917915895,0.9929867961259342,0.9688954958155847,0.9330627125958845
Validation,XGBoost,0.9594824967406218,0.8931486863948572,0.9572777160294784,0.7936486687249491,0.8433619272883373,0.9926487040647654,0.9648514137598972,0.921205555863428
Test,XGBoost,0.9708537948318489,0.6785763192306233,0.6487418131678732,0.3643050716221448,0.46659228957481097,0.9928475668391018,0.8720204489364543,0.4733766948544989

Training,XGBoost,0.9703590855496446,0.9217785157845526,0.969058745765589,0.8489078895110944,0.9047921050499111,0.9946491420580108,0.9787744014467155,0.951894824253321
Validation,XGBoost,0.9643003043072162,0.9058988862985519,0.9638952735084777,0.8182974227349691,0.8609492838887727,0.9935003498621346,0.9717290766120426,0.9357918194131827
Test,XGBoost,0.9733735225386934,0.7003095615394072,0.7081226828446242,0.4066976384049555,0.5166605188737243,0.9939214846738589,0.8874576947789365,0.5259365855489412

Training,XGBoost,0.9899408067317083,0.9729843396338225,0.9916868112237454,0.9475497210715748,0.9690357991560203,0.9984189581960702,0.9982481638417516,0.9940203699718181
Validation,XGBoost,0.9739242152472503,0.9331377525525995,0.969536376193936,0.8719586032670149,0.9014834517025282,0.994316901838184,0.9822842191567149,0.9591363629984357
Test,XGBoost,0.9773224506383987,0.7433042881030796,0.7786633966891477,0.4916763453348819,0.6027527289985761,0.9949322308712772,0.9178891276595801,0.6268253159459719

Training,XGBoost,0.9947400903789058,0.9877414267960868,0.9910594149089544,0.9772434661749012,0.9840906816038812,0.9982393874172724,0.9996514850418677,0.9985329887256567
Validation,XGBoost,0.9744759896453743,0.9378113370542757,0.9619276995249235,0.882814870032367,0.905625777437761,0.9928078040761843,0.9843283011265997,0.9632261043743899
Test,XGBoost,0.976231923324415,0.7464703387722328,0.7365115615186982,0.4994192799070848,0.5952243626715884,0.9935213976373808,0.9156682710990802,0.6199523669816618

Training,XGBoost,0.993207107771504,0.9828581762197313,0.991690278334576,0.9673348292234205,0.9793270643514422,0.998381523216042,0.9993584809046088,0.9974799145498903
Validation,XGBoost,0.974362905709642,0.9362367044333265,0.9683797266464274,0.879047927527615,0.9044162317668807,0.9934254813390381,0.9834335741620646,0.9616243909338916
Test,XGBoost,0.9765435025569817,0.7441132944388766,0.7502203937702028,0.49419279907084784,0.5958688295016922,0.9940337898069054,0.917328758252432,0.6233658164962081

Training,XGBoost,0.9883454323977908,0.9682742240027802,0.9913910980732936,0.9381675095813913,0.9639429496127813,0.9983809384241691,0.9974731257572976,0.9918475092105263
Validation,XGBoost,0.9732613045203605,0.9309664970646285,0.9717031676708174,0.8675248449562023,0.8980766240322507,0.9944081491730548,0.9813846309254673,0.9575141054498115
Test,XGBoost,0.9773089037152437,0.742271220418071,0.7800740283775447,0.4895470383275261,0.601569933396765,0.994995402508616,0.9176689488103404,0.6262984851467952

Training,XGBoost,0.9785182576838561,0.9429607128783847,0.9794764984929507,0.8896245611490642,0.9323065889800735,0.9962968646077052,0.9916580494539241,0.9762373620240995
Validation,XGBoost,0.9687203573290631,0.9202214802682747,0.9614936453303875,0.8474737178425537,0.8856742200893448,0.9929692426939957,0.9809083483587523,0.9523944269884032
Test,XGBoost,0.9745453313916077,0.7207847434215892,0.7186335403726708,0.44792876500193574,0.551872167898879,0.9936407218412426,0.9045754720725262,0.5630769174845972

Training,XGBoost,0.9928283708584719,0.981490327535939,0.9922493920687115,0.9644833174631409,0.9781276085300658,0.9984973376087372,0.9991830354759177,0.9969304191552965
Validation,XGBoost,0.9739359140422656,0.9343005780658069,0.9664763036916091,0.8748481188114097,0.9013418426981247,0.9937530373202041,0.9807268080561446,0.9570102706883532
Test,XGBoost,0.9771937548684255,0.7490207900285129,0.7641703377386196,0.5036778939217964,0.6071636915179093,0.9943636861352294,0.9172764834304127,0.6326812662518412

Training,XGBoost,0.9784319817494925,0.9426784849021559,0.9795243843433846,0.8890484067469583,0.9320099866560787,0.9963085630573535,0.9916338538253271,0.9761211852644506
Validation,XGBoost,0.9687008598759175,0.9200927954283731,0.9616065506629216,0.8471812531371207,0.8854655959221333,0.9930043377196255,0.9810080089817239,0.9523917956283097
Test,XGBoost,0.9745656517763402,0.7200490548538536,0.7203998750390503,0.44638017808749514,0.5512130990797179,0.9937179316202122,0.9045547986942852,0.5627655858178108

Training,XGBoost,0.9905793464357215,0.9843956699297077,0.9685684182332581,0.9751201861285999,0.971833028264283,0.9936711537308156,0.9989357226740336,0.9959198770193736
Validation,XGBoost,0.9705999049315761,0.9381904106535803,0.9338917254921879,0.8895766521334446,0.896623891039485,0.986804169173716,0.9821295192235808,0.9588886469496911
Test,XGBoost,0.9723304094557523,0.7710328331996734,0.6162615616261562,0.5545876887340302,0.5838003056546103,0.9874779776653166,0.914648418859733,0.6178769693947341

Training,XGBoost,0.9875484764916477,0.9864151607392466,0.9435292519827252,0.9881435554616266,0.9635342104575546,0.9846867660168667,0.9991407431282147,0.9964745356381608
Validation,XGBoost,0.9656982563871905,0.938309781222223,0.9015746531358311,0.900432936005077,0.8853232234494863,0.9761866264393689,0.9818659399859264,0.9585335132360402
Test,XGBoost,0.9665323263453788,0.7838857858373015,0.5192472198460223,0.5874951606658924,0.5512669149032785,0.9802764110087107,0.9112949640270175,0.6112298934460704

Training,XGBoost,0.9908644958480771,0.9860492696012223,0.9760355336853843,0.9820340085888928,0.9724664609650974,0.9900645306135518,0.9990324196747908,0.9961760559525841
Validation,XGBoost,0.9718730862935638,0.9384407773241442,0.9443895735587556,0.8946421303214456,0.8992539230917004,0.9822394243268429,0.9821405169847524,0.9588754845015103
Test,XGBoost,0.9738612117722762,0.7646436479024621,0.6530803466854064,0.5396825396825397,0.590990990990991,0.9896047561223845,0.9150134913850905,0.6204799448593545
